Code,Stock,Company,Sector,Market,Price,EPS,ROE,YoY,QoQ,ConQ,TopQ,RYoY,RQoQ,RConQ,RTopQ
0117,SMRT,SMRT HOLDINGS BERHAD,Technology,Ace Market,0.115,-7.85,-31.44,No,Yes,Yes,No,No,Yes,No,No
7240,VERTICE,VERTICE BERHAD,Consumer Products & Services,Main Market,0.270,-14.19,-31.53,No,No,No,No,No,No,No,No
7239,SCNWOLF,SCANWOLF CORPORATION BERHAD,Industrial Products & Services,Main Market,0.215,-10.72,-31.54,No,No,No,No,No,No,No,No
0132,TDEX,TECHNODEX BHD,Technology,Ace Market,0.310,-1.31,-32.78,Yes,No,No,No,No,No,No,No
0070,MQTECH,MQ TECHNOLOGY BERHAD,Technology,Ace Market,0.160,-1.65,-33.07,No,No,No,Yes,No,No,No,No
7253,HANDAL,HANDAL ENERGY BERHAD,Energy,Main Market,0.250,-12.37,-34.36,No,No,No,No,No,No,No,No
0092,MTOUCHE,MTOUCHE TECHNOLOGY BERHAD,Telecommunications & Media,Ace Market,0.075,-2.59,-34.53,No,No,No,No,No,No,No,No
7192,GOODWAY,GOODWAY INTEGRATED INDUSTRIES BERHAD,Industrial Products & Services,Main Market,0.590,-3.27,-36.30,Yes,Yes,No,No,No,No,No,No
5178,DYNACIA,DYNACIATE GROUP BERHAD,Industrial Products & Services,Main Market,0.120,-2.58,-36.73,No,No,No,No,Yes,No,No,No
7245,WZSATU,WZ SATU BERHAD,Industrial Products & Services,Main Market,0.200,-7.75,-36.92,Yes,No,No,No,No,No,No,No
2771,BSTEAD,BOUSTEAD HOLDINGS BERHAD,Industrial Products & Services,Main Market,0.640,-65.33,-37.55,No,No,No,No,No,No,No,No
0017,M3TECH,M3 TECHNOLOGIES (ASIA) BERHAD,Telecommunications & Media,Ace Market,0.070,-1.10,-38.02,Yes,Yes,No,No,Yes,Yes,No,Yes
7176,TPC,TPC PLUS BERHAD,Consumer Products & Services,Main Market,0.235,-11.26,-38.84,No,No,No,No,No,No,No,No
7013,HUBLINE,HUBLINE BERHAD,Transportation & Logistics,Main Market,0.050,-1.61,-40.22,No,No,No,No,Yes,No,No,No
7081,PHARMA,PHARMANIAGA BERHAD,Health Care,Main Market,5.260,-55.32,-41.91,Yes,Yes,No,No,Yes,No,No,No
7184,G3,G3 GLOBAL BERHAD,Consumer Products & Services,Main Market,2.120,-2.95,-42.20,Yes,Yes,No,No,No,No,No,No
0007,PUC,PUC BERHAD,Telecommunications & Media,Ace Market,0.165,-14.07,-42.76,No,No,No,No,No,No,No,No
5218,SAPNRG,SAPURA ENERGY BERHAD,Energy,Main Market,0.130,-26.89,-45.58,No,Yes,No,No,No,No,No,No
7078,AZRB,AHMAD ZAKI RESOURCES BERHAD,Construction,Main Market,0.250,-25.36,-46.96,No,No,No,No,No,No,No,No
9393,ITRONIC,INDUSTRONICS BERHAD,Technology,Main Market,0.200,-3.46,-49.44,No,No,No,Yes,Yes,No,No,No
03021,ETH,EQUITIESTRACKER HOLDINGS BERHAD,Consumer Products & Services,Leap Market,0.190,-1.24,-49.92,No,No,No,No,No,No,No,No
0154,EAH,EA HOLDINGS BERHAD,Technology,Ace Market,0.030,-1.00,-49.95,No,No,No,No,Yes,No,No,Yes
8338,DATAPRP,DATAPREP HOLDINGS BHD,Technology,Main Market,0.175,-1.52,-50.51,Yes,No,No,No,No,No,No,No
5079,GETS,GETS GLOBAL BERHAD,Consumer Products & Services,Main Market,2.300,-7.73,-51.50,No,No,No,No,No,No,No,No
0020,NETX,NETX HOLDINGS BERHAD,Technology,Ace Market,0.145,-1.09,-54.50,Yes,Yes,No,No,Yes,Yes,No,Yes
5142,WASEONG,WAH SEONG CORPORATION BERHAD,Energy,Main Market,0.755,-46.52,-54.73,No,No,No,No,No,No,No,No
3441,JOHAN,JOHAN HOLDINGS BERHAD,Financial Services,Main Market,0.230,-4.08,-57.52,No,No,No,No,No,No,No,No
0022,PARLO,PARLO BERHAD,Consumer Products & Services,Ace Market,0.585,-1.75,-58.30,No,No,No,No,No,No,No,No
0005,UCREST,UCREST BERHAD,Technology,Ace Market,0.145,-2.49,-62.21,No,No,No,No,No,No,No,No
0075,LYC,LYC HEALTHCARE BERHAD,Health Care,Ace Market,0.330,-3.18,-63.55,No,No,No,No,Yes,No,No,Yes
0143,KEYASIC,KEY ASIC BERHAD,Technology,Main Market,0.085,-1.49,-67.54,No,No,No,No,No,No,No,No
0096,NEXGRAM,NEXGRAM HOLDINGS BERHAD,Telecommunications & Media,Ace Market,0.055,-2.32,-67.90,No,No,No,No,No,No,No,No
8133,BHIC,BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,Transportation & Logistics,Main Market,0.605,-38.09,-68.01,Yes,No,No,No,Yes,No,No,No
5665,SSTEEL,SOUTHERN STEEL BERHAD,Industrial Products & Services,Main Market,0.700,-75.40,-69.81,No,No,No,Yes,No,No,No,No
0107,EDUSPEC,EDUSPEC HOLDINGS BERHAD,Technology,Ace Market,0.025,-3.45,-82.24,No,No,No,No,No,No,No,No
0085,MLAB,MLABS SYSTEMS BERHAD,Technology,Ace Market,0.080,-3.70,-82.26,No,No,No,No,No,No,Yes,No
7212,DESTINI,DESTINI BERHAD,Industrial Products & Services,Main Market,0.300,-17.34,-82.32,No,No,No,No,No,No,No,No
8834,IREKA,IREKA CORPORATION BERHAD,Construction,Main Market,0.325,-26.50,-82.81,No,No,No,No,No,No,No,No
8931,JERASIA,JERASIA CAPITAL BERHAD,Consumer Products & Services,Main Market,0.390,-85.95,-83.45,No,No,No,No,No,No,No,No
5149,TAS,TAS OFFSHORE BERHAD,Transportation & Logistics,Main Market,0.220,-42.97,-86.06,No,No,No,No,No,No,No,No
5195,CENSOF,CENSOF HOLDINGS BERHAD,Technology,Main Market,0.245,-12.01,-86.19,No,Yes,No,No,Yes,Yes,No,No
5270,RSENA,RED SENA BERHAD,SPAC,Main Market,0.505,-1.58,-92.76,No,No,No,No,No,No,No,Yes
5157,SAUDEE,SAUDEE GROUP BERHAD,Consumer Products & Services,Main Market,0.490,-18.98,-94.90,No,No,No,No,No,Yes,Yes,Yes
7045,SCOMIES,SCOMI ENERGY SERVICES BHD,Energy,Main Market,0.100,-43.76,-99.45,No,No,No,No,No,No,No,No
03002,REDIDEA,RED IDEAS HOLDINGS BERHAD,Technology,Leap Market,0.190,-4.13,-103.23,No,No,No,No,No,Yes,Yes,Yes
3891,MUIIND,MALAYAN UNITED INDUSTRIES BERHAD,Consumer Products & Services,Main Market,0.100,-6.59,-103.60,No,Yes,No,No,No,No,No,No
5673,IPMUDA,IPMUDA BERHAD,Industrial Products & Services,Main Market,0.800,-46.54,-106.74,Yes,Yes,No,No,No,No,No,No
